code,taxa_num,msa_length,ssp_from_true,dseq_from_true,dpos_from_true,constant_sites_pct,n_unique_sites,entropy_mean,entropy_25_pct,entropy_75_pct,entropy_sum,entropy_max,num_gap_segments_norm,av_gap_segment_length,gaps_len_one,gaps_len_two,gaps_len_three,gaps_len_four_plus,num_unique_gaps,num_unique_gaps_norm,avg_unique_gap_length,gaps_1seq_len1,gaps_2seq_len1,gaps_1seq_len2,gaps_2seq_len2,gaps_1seq_len3,gaps_2seq_len3,gaps_1seq_len4plus,gaps_2seq_len4plus,gaps_all_except_1_len1,gaps_all_except_1_len2,gaps_all_except_1_len3,gaps_all_except_1_len4plus,num_cols_no_gaps,num_cols_1_gap,num_cols_2_gaps,num_cols_all_gaps_except1,single_char_count,double_char_count,seq_max_len,seq_min_len,k_mer_max_K5,k_mer_average_K5,k_mer_95_pct_K5,k_mer_90_pct_K5,kmer_sum_of_top_10_K5,k_mer_max_K10,k_mer_average_K10,k_mer_95_pct_K10,k_mer_90_pct_K10,kmer_sum_of_top_10_K10,k_mer_max_K20,k_mer_average_K20,k_mer_95_pct_K20,k_mer_90_pct_K20,kmer_sum_of_top_10_K20,bl_sum,bl_mean,bl_25_pct,bl_75_pct,bl_max,bl_min,parsimony_mean,parsimony_sum,parsimony_max,parsimony_min,parsimony_25_pct,parsimony_75_pct,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_BLOSUM62,sp_match_norm_BLOSUM62,sp_mismatch_BLOSUM62,sp_mismatch_norm_BLOSUM62,sp_BLOSUM62_GO_-10_GE_-0.5,sp_norm_BLOSUM62_GO_-10_GE_-0.5,sp_BLOSUM62_GO_-6_GE_-0.5,sp_norm_BLOSUM62_GO_-6_GE_-0.5,sp_BLOSUM62_GO_-10_GE_-1,sp_norm_BLOSUM62_GO_-10_GE_-1,sp_BLOSUM62_GO_-6_GE_-1,sp_norm_BLOSUM62_GO_-6_GE_-1,sp_BLOSUM62_GO_-10_GE_-0.2,sp_norm_BLOSUM62_GO_-10_GE_-0.2,sp_BLOSUM62_GO_-6_GE_-0.2,sp_norm_BLOSUM62_GO_-6_GE_-0.2,sp_match_PAM250,sp_match_norm_PAM250,sp_mismatch_PAM250,sp_mismatch_norm_PAM250,sp_PAM250_GO_-10_GE_-0.5,sp_norm_PAM250_GO_-10_GE_-0.5,sp_PAM250_GO_-6_GE_-0.5,sp_norm_PAM250_GO_-6_GE_-0.5,sp_PAM250_GO_-10_GE_-1,sp_norm_PAM250_GO_-10_GE_-1,sp_PAM250_GO_-6_GE_-1,sp_norm_PAM250_GO_-6_GE_-1,sp_PAM250_GO_-10_GE_-0.2,sp_norm_PAM250_GO_-10_GE_-0.2,sp_PAM250_GO_-6_GE_-0.2,sp_norm_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.5,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.5,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.5,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.5,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-0.5,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-0.5,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-0.5,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-0.5,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-0.2,
bali_phy_msa.1.fas,50,280,0.000,0.723,0.000,0.132,257,1.457,1.040,2.232,408.078,2.706,0.980,193.286,0.000,0.000,0.000,0.980,33,0.660,197.424,0,0,0,0,0,0,33,8,0,0,0,0,2,8,15,37,0,1,280,2,9275,3.975,3,2,9422,9030,3.181,1,1,9091,8540,2.969,1,1,8581,10.554,0.109,0.016,0.125,0.914,0.002,10.739,3007.000,36.000,1.000,3.000,22.000,8943,0.026,71201,0.208,1217,0.004,61633,0.180,46402.000,0.135,-86409.000,-0.252,-82993.500,-0.242,-78125.500,-0.228,-113810.000,-0.332,-108942.000,-0.318,-64503.600,-0.188,-59635.600,-0.174,42921.000,0.125,-73237.000,-0.214,-73302.500,-0.214,-68434.500,-0.200,-104119.000,-0.304,-99251.000,-0.289,-54812.600,-0.160,-49944.600,-0.146,-52.977,-55.641,-46.089,-54.424,-51.056,-53.734,-44.157,-52.536,-73.920,-76.473,-62.797,-76.489,-71.999,-74.566,-60.865,-74.601,-40.411,-43.142,-36.064,-41.185,-38.491,-41.236,-34.133,-39.297,-47.060,-49.120,-41.076,-47.970,-45.140,-47.214,-39.145,-46.082,-68.003,-69.952,-57.784,-70.035,-66.083,-68.045,-55.853,-68.147,-34.495,-36.622,-31.051,-34.731,-32.574,-34.715,-29.120,-32.843,
bali_phy_msa.10.fas,50,456,0.000,0.031,0.000,0.632,329,0.372,0.000,0.637,169.408,2.623,13.080,27.937,1.300,1.480,0.660,9.640,50,1.000,104.380,1,1,1,0,0,0,48,6,0,0,0,0,0,0,0,142,101,151,280,2,16031,6.266,4,3,16467,13928,3.738,3,2,14303,10899,2.365,2,1,11157,4.344,0.045,0.013,0.047,0.444,0.002,4.559,2079.000,36.000,1.000,1.000,5.000,33947,0.061,25032,0.045,5444,0.010,103963,0.186,183706.000,0.329,-11791.000,-0.021,65493.500,0.117,87269.500,0.156,13512.000,0.024,35288.000,0.063,96682.400,0.173,118458.400,0.212,172847.000,0.309,-813.000,-0.001,65612.500,0.117,87388.500,0.156,13631.000,0.024,35407.000,0.063,96801.400,0.173,118577.400,0.212,21.429,28.898,16.922,21.606,33.595,42.371,27.835,34.583,-10.206,-5.843,-11.593,-13.423,1.961,7.631,-0.680,-0.446,40.409,49.742,34.031,42.623,52.576,63.215,44.944,55.601,21.738,29.214,16.797,21.683,33.904,42.687,27.710,34.661,-9.896,-5.527,-11.718,-13.346,2.270,7.946,-0.805,-0.368,40.718,50.058,33.907,42.701,52.885,63.531,44.819,55.678,
bali_phy_msa.100.fas,50,457,0.000,0.031,0.000,0.626,330,0.377,0.000,0.637,172.290,2.623,11.200,32.716,1.240,1.500,0.000,8.460,49,0.980,106.245,0,0,0,0,0,0,49,6,0,0,0,0,0,0,0,139,54,42,280,2,16417,6.209,4,3,16779,14534,3.824,3,2,14865,11421,2.451,2,1,11686,4.363,0.045,0.014,0.049,0.458,0.001,4.611,2107.000,35.000,1.000,1.000,4.000,33882,0.061,25155,0.045,5086,0.009,103847,0.185,183879.000,0.328,-11680.000,-0.021,69415.500,0.124,89759.500,0.160,17492.000,0.031,37836.000,0.068,100569.600,0.180,120913.600,0.216,173814.000,0.310,-905.000,-0.002,70125.500,0.125,90469.500,0.162,18202.000,0.033,38546.000,0.069,101279.600,0.181,121623.600,0.217,22.371,29.657,16.530,21.689,33.876,42.430,26.949,34.009,-9.566,-5.462,-12.074,-13.886,1.939,7.310,-1.655,-1.566,41.534,50.729,33.693,43.034,53.038,63.501,44.112,55.354,22.956,30.267,16.756,21.964,34.461,43.040,27.175,34.284,-8.981,-4.852,-11.848,-13.611,2.524,7.920,-1.429,-1.291,42.119,51.339,33.918,43.309,53.623,64.111,44.337,55.629,
bali_phy_msa.101.fas,50,456,0.000,0.029,0.000,0.636,329,0.368,0.000,0.637,167.691,2.640,13.040,28.023,3.280,0.820,0.000,8.940,47,0.940,103.128,0,1,0,1,0,0,47,7,0,0,0,0,0,0,0,141,134,13,280,2,16237,6.163,4,3,16619,14221,3.784,3,2,14577,10857,2.417,2,1,11148,4.369,0.045,0.012,0.049,0.473,0.002,4.592,2094.000,37.000,1.000,1.000,4.250,33718,0.060,25575,0.046,5148,0.009,103335,0.185,182880.000,0.327,-12493.000,-0.022,67239.500,0.120,87831.500,0.157,15572.000,0.028,36164.000,0.065,98240.000,0.176,118832.000,0.213,172725.000,0.309,-1988.000,-0.004,67589.500,0.121,88181.500,0.158,15922.000,0.029,36514.000,0.065,98590.000,0.176,119182.000,0.213,21.719,29.147,18.370,21.759,33.414,42.142,28.771,34.428,-9.952,-5.679,-9.926,-13.698,1.742,7.317,0.475,-1.029,40.722,50.042,35.348,43.033,52.417,63.038,45.748,55.702,22.003,29.391,18.259,21.651,33.698,42.386,28.660,34.319,-9.668,-5.435,-10.037,-13.806,2.026,7.561,0.364,-1.138,41.006,50.286,35.237,42.925,52.701,63.282,45.638,55.593,
bali_phy_msa.102.fas,50,470,0.000,0.037,0.000,0.632,341,0.369,0.000,0.637,173.609,2.640,13.340,28.442,0.600,1.920,0.660,10.160,49,0.980,111.939,0,1,0,1,0,0,49,6,0,0,0,0,0,0,0,149,134,75,280,2,16618,6.492,4,3,17069,14275,3.942,3,2,14707,10752,2.508,3,1,11132,4.231,0.044,0.012,0.048,0.451,0.002,4.464,2098.000,36.000,1.000,1.000,4.000,33337,0.058,24802,0.043,5452,0.009,105643,0.183,181318.000,0.315,-11840.000,-0.021,62136.500,0.108,83944.500,0.146,9315.000,0.016,31123.000,0.054,93829.400,0.163,115637.400,0.201,171564.000,0.298,-1443.000,-0.003,62779.500,0.109,84587.500,0.147,9958.000,0.017,31766.000,0.055,94472.400,0.164,116280.400,0.202,16.890,23.117,14.477,16.205,29.866,37.749,26.162,30.375,-15.595,-12.735,-14.779,-20.076,-2.619,1.897,-3.093,-5.905,36.381,44.629,32.030,37.973,49.357,59.260,43.716,52.144,17.573,23.859,14.536,16.600,30.549,38.491,26.221,30.770,-14.912,-11.993,-14.720,-19.681,-1.936,2.638,-3.034,-5.511,37.064,45.371,32.089,38.368,50.040,60.002,43.775,52.538,
bali_phy_msa.103.fas,50,471,0.000,0.032,0.000,0.643,344,0.360,0.000,0.637,169.408,2.656,13.220,28.776,1.240,1.540,0.700,9.740,51,1.020,101.431,0,1,2,0,0,0,49,5,0,0,0,0,0,0,0,156,75,164,280,2,16752,6.493,4,3,17278,14618,3.923,3,2,15077,11157,2.454,2,1,11482,4.217,0.043,0.012,0.047,0.445,0.002,4.459,2100.000,37.000,1.000,1.000,4.000,33566,0.058,25194,0.044,5260,0.009,104401,0.181,181965.000,0.315,-11684.000,-0.020,65480.500,0.113,86520.500,0.150,13280.000,0.023,34320.000,0.059,96800.800,0.168,117840.800,0.204,172067.000,0.298,-1153.000,-0.002,66113.500,0.115,87153.500,0.151,13913.000,0.024,34953.000,0.061,97433.800,0.169,118473.800,0.205,20.299,27.227,17.328,19.878,32.471,40.883,28.266,33.107,-11.618,-7.970,-11.405,-15.856,0.554,5.687,-0.466,-2.627,39.450,48.345,34.567,41.319,51.622,62.001,45.506,54.548,20.915,27.911,17.292,20.160,33.087,41.568,28.231,33.389,-11.003,-7.285,-11.440,-15.574,1.169,6.371,-0.502,-2.345,40.066,49.029,34.532,41.601,52.238,62.685,45.470,54.830,
bali_phy_msa.104.fas,50,465,0.000,0.026,0.000,0.641,333,0.368,0.000,0.637,171.109,2.623,12.780,29.297,1.280,1.560,0.940,9.000,48,0.960,108.938,0,1,0,0,0,0,48,5,0,0,0,0,0,0,0,143,72,76,280,2,16560,6.367,4,3,16945,14569,3.785,3,2,14913,11225,2.411,2,1,11491,4.244,0.044,0.012,0.046,0.454,0.002,4.490,2088.000,36.000,0.000,1.000,4.000,33686,0.059,25492,0.045,5043,0.009,103565,0.182,182490.000,0.320,-11931.000,-0.021,68346.500,0.120,88518.500,0.155,16564.000,0.029,36736.000,0.064,99416.000,0.175,119588.000,0.210,172028.000,0.302,-1163.000,-0.002,68652.500,0.121,88824.500,0.156,16870.000,0.030,37042.000,0.065,99722.000,0.175,119894.000,0.210,22.841,30.652,19.198,22.787,34.185,43.241,29.414,35.134,-8.666,-3.984,-9.007,-12.388,2.678,8.606,1.210,-0.042,41.745,51.433,36.121,43.892,53.089,64.023,46.337,56.239,23.282,31.152,19.183,22.901,34.626,43.741,29.399,35.248,-8.225,-3.484,-9.021,-12.274,3.119,9.106,1.195,0.073,42.186,51.933,36.106,44.006,53.530,64.523,46.322,56.353,
bali_phy_msa.105.fas,50,473,0.000,0.031,0.000,0.628,346,0.368,0.000,0.637,174.188,2.606,11.940,32.028,1.200,0.660,0.000,10.080,49,0.980,111.122,0,1,0,0,0,0,49,5,0,0,0,0,0,0,0,145,102,79,280,2,16979,6.516,4,3,17455,14699,3.966,3,2,15166,11240,2.495,2,1,11601,4.234,0.044,0.013,0.048,0.444,0.002,4.495,2126.000,36.000,0.000,1.000,5.000,33575,0.058,24616,0.042,5130,0.009,105539,0.182,181488.000,0.313,-10821.000,-0.019,66597.500,0.115,87117.500,0.150,13828.000,0.024,34348.000,0.059,98259.200,0.170,118779.200,0.205,170790.000,0.295,-188.000,-0.000,66532.500,0.115,87052.500,0.150,13763.000,0.024,34283.000,0.059,98194.200,0.169,118714.200,0.205,21.451,28.448,18.343,21.349,33.088,41.432,28.845,34.003,-10.577,-6.859,-10.268,-14.312,1.060,6.125,0.234,-1.657,40.668,49.632,35.510,42.745,52.305,62.616,46.011,55.400,21.729,28.762,18.345,21.297,33.366,41.746,28.847,33.952,-10.299,-6.545,-10.266,-14.363,1.338,6.439,0.236,-1.709,40.946,49.946,35.512,42.694,52.583,62.931,46.013,55.348,
bali_phy_msa.106.fas,50,488,0.000,0.022,0.000,0.670,345,0.343,0.000,0.637,167.613,2.627,15.620,25.443,3.040,0.960,0.600,11.020,52,1.040,104.846,0,1,2,1,0,0,50,6,0,0,0,0,0,0,0,160,155,89,280,2,17329,6.733,5,3,17877,15037,3.897,3,2,15446,11711,2.408,2,1,11979,4.012,0.041,0.012,0.046,0.413,0.001,4.273,2085.000,37.000,0.000,1.000,3.000,33704,0.056,25132,0.042,5326,0.009,104249,0.174,182683.000,0.306,-11863.000,-0.020,65435.500,0.109,86739.500,0.145,13311.000,0.022,34615.000,0.058,96710.200,0.162,118014.200,0.197,172586.000,0.289,-1058.000,-0.002,66143.500,0.111,87447.500,0.146,14019.000,0.023,35323.000,0.059,97418.200,0.163,118722.200,0.199,21.369,29.044,20.434,20.832,33.005,41.867,31.154,33.439,-10.148,-5.702,-7.830,-14.415,1.488,7.121,2.889,-1.809,40.279,49.891,37.393,41.981,51.915,62.715,48.113,54.588,21.972,29.715,20.448,21.116,33.607,42.538,31.167,33.723,-9.545,-5.031,-7.817,-14.132,2.090,7.792,2.902,-1.525,40.882,50.563,37.407,42.265,52.518,63.386,48.126,54.872,
bali_phy_msa.107.fas,50,463,0.000,0.024,0.000,0.635,332,0.368,0.000,0.637,170.463,2.644,11.400,32.668,1.180,1.660,0.020,8.540,50,1.000,101.380,0,1,0,1,1,0,49,5,0,0,0,0,0,0,0,145,53,113,280,2,16685,6.361,4,3,17065,14654,3.925,3,2,15027,11337,2.434,2,1,11654,4.285,0.044,0.014,0.046,0.428,0.002,4.510,2088.000,36.000,1.000,1.000,4.500,33916,0.060,25006,0.044,5142,0.009,104077,0.184,184058.000,0.325,-11300.000,-0.020,69299.500,0.122,89867.500,0.158,17261.000,0.030,37829.000,0.067,100522.600,0.177,121090.600,0.213,173867.000,0.307,-526.000,-0.001,69882.500,0.123,90450.500,0.159,17844.000,0.031,38412.000,0.068,101105.600,0.178,121673.600,0.215,22.239,29.345,16.839,22.133,34.044,42.521,27.543,34.929,-9.479,-5.564,-12.002,-13.042,2.325,7.611,-1.297,-0.245,41.270,50.291,34.143,43.238,53.075,63.467,44.848,56.034,22.575,29.625,16.793,22.181,34.380,42.801,27.497,34.978,-9.143,-5.285,-12.048,-12.994,2.661,7.891,-1.344,-0.197,41.606,50.571,34.097,43.286,53.411,63.747,44.802,56.082,
